run,SEED,spatial_dim,epochs,eval_every,lr,lr_decay,gamma,optimizer,n_fgd_vec,N_test,test_batch_size,N_val,val_batch_size,seq_len,use_seed_seq,seed_frac,x_radius,x_ordering,hess_diag_method,stde_dist,backbone,no_stde,ad_mode,eqn_name,num_mamba_blocks,block_size,mlp_width,mlp_depth,hidden_features,expansion_factor,dt_rank,activation,norm_type,dense_expansion,complement,tie_in_proj,tie_gate,bidirectional,diag_skip,diag_gate,diag_gated,diag_residual,recursive_scan,min_recursion_length,recursive_split,custom_vjp_scan,ssm_activation,run_name,save_every,rand_batch_size,l1_rel,l2_rel,iter_per_s,time_per_epoch,total_time,peak_gpu_mem,num_params,final_loss,best_loss,variant,seed
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalFalse_ad_modeforward_no_stdeFalse/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,sparse_stde,rademacher,Mamba,False,forward,PoissonHouman,1,-1,128,4,16,1.0,auto,wave,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalFalse_ad_modeforward_no_stdeFalse/0,10000,16,0.07805673778057098,0.08871636539697647,0.0,0.004859143280982971,48.641010999679565,112.174072265625,192,51.41733932495117,12.621015548706055,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,2,-1,128,4,8,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,10000,16,0.17651642858982086,0.18713779747486115,0.0,0.009299575304985047,93.08314919471741,112.197021484375,393,51.23366928100586,12.619864463806152,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalTrue_ad_modeforward_no_stdeFalse/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,sparse_stde,rademacher,Mamba,False,forward,PoissonHouman,1,-1,128,4,8,1.0,auto,wave,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalTrue_ad_modeforward_no_stdeFalse/0,10000,16,0.5132566094398499,0.5347115993499756,0.0,0.005888533854484558,58.94238328933716,112.1826171875,207,51.492698669433594,12.68876838684082,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,stacked,rademacher,Mamba,True,reverse,PoissonHouman,1,-1,128,4,16,1.0,auto,gelu,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,10000,16,0.5479852557182312,0.5386205911636353,0.0,0.006183477187156677,61.89077091217041,112.177734375,333,51.322933197021484,12.657668113708496,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,1,-1,128,4,16,1.0,auto,gelu,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,10000,16,0.5478155612945557,0.5384919047355652,0.0,0.007238493990898132,72.45564794540405,112.18115234375,333,51.323116302490234,12.65872859954834,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeFalse/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,sparse_stde,rademacher,Mamba,False,forward,PoissonHouman,2,-1,128,4,16,1.0,auto,gelu,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeFalse/0,10000,16,0.035921379923820496,0.03622176870703697,0.0,0.007482058048248291,74.8943350315094,112.1806640625,363,51.44492721557617,12.725112915039062,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeFalse/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,sparse_stde,rademacher,Mamba,False,forward,PoissonHouman,1,-1,128,4,8,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeFalse/0,10000,16,0.3533940017223358,0.3439338505268097,0.0,0.0059877833127975465,59.93409752845764,112.1767578125,205,51.366943359375,12.603382110595703,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,1,-1,128,4,8,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,10000,16,0.3533938527107239,0.34392502903938293,0.0,0.0052038394212722775,52.09297227859497,112.179443359375,205,51.36683654785156,12.603353500366211,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,2,-1,128,4,16,1.0,auto,gelu,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,10000,16,0.03596113622188568,0.036262914538383484,0.0,0.009464859175682069,94.75244379043579,112.1796875,363,51.445037841796875,12.725481033325195,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,1,-1,128,4,16,1.0,auto,gelu,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,10000,16,0.03881807625293732,0.04156860336661339,0.0,0.005014667701721191,50.19264507293701,112.2021484375,190,51.43027114868164,12.745445251464844,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,1,-1,128,4,16,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,10000,16,0.7562912106513977,0.7250489592552185,0.0,0.006225617146492004,62.3135085105896,112.181884765625,333,51.409175872802734,12.566387176513672,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,1,-1,128,4,8,1.0,auto,wave,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalTrue_ad_modeforward_no_stdeTrue/0,10000,16,0.5129508376121521,0.5344010591506958,0.0,0.006108433270454407,61.14927816390991,112.18115234375,207,51.49243927001953,12.68870735168457,Mamba,0
